"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"600519.SH","20090708","143.5","145.15","141.5","143.93","145.54","-1.61","-1.11","26515.79","378380.305"
"600519.SH","20090707","143.94","148.01","143.01","145.54","143.92","1.62","1.13","27405.69","399773.428"
"600519.SH","20090706","145","145.98","142.8","143.92","145.92","-2","-1.37","29491.82","423754.9"
"600519.SH","20090703","147","149","145.4","145.92","147.95","-2.03","-1.37","25738.76","376552.059"
"600519.SH","20090702","145.6","150.96","143.7","147.95","145.65","2.3","1.58","26990.19","395317.139"
"600519.SH","20090701","146.6","148","144.98","145.65","146.85","-1.2","-0.82","19356.75","281759.83"
"600519.SH","20090630","148.5","150.3","144.8","148.01","147.72","0.29","0.2","24553.49","359599.491"
"600519.SH","20090629","138.01","149.01","137.3","147.72","137","10.72","7.82","38015.48","553072.336"
"600519.SH","20090626","136","138","136","137","135.89","1.11","0.82","18262.49","250833.621"
"600519.SH","20090625","132.99","136.2","132.01","135.89","131.99","3.9","2.95","21834.14","295200.887"
"600519.SH","20090624","133.3","134","131.01","131.99","133.37","-1.38","-1.03","20936.23","276526.128"
"600519.SH","20090623","131.8","134.5","129.56","133.37","132.97","0.4","0.3","27588.04","364099.88"
"600519.SH","20090622","137.5","138.2","132.88","132.97","136.92","-3.95","-2.88","21181.12","285552.148"
"600519.SH","20090619","136.98","138.69","135.6","136.92","137.87","-0.95","-0.69","18533.45","253253.63"
"600519.SH","20090618","137","138.5","135.5","137.87","137.65","0.22","0.16","41190.02","564072.323"
"600519.SH","20090617","135.35","138.5","135.2","137.65","135.69","1.96","1.44","22583.67","310521.875"
"600519.SH","20090616","135.8","137.15","134","135.69","136.24","-0.55","-0.4","20039.2","271544.262"
"600519.SH","20090615","130.05","136.6","130.05","136.24","130.61","5.63","4.31","44081.28","592083.839"
"600519.SH","20090612","133.67","135.8","129.2","130.61","133.29","-2.68","-2.01","27035.33","357604.702"
"600519.SH","20090611","131.28","136.5","131.28","133.29","131.3","1.99","1.52","39738.46","533435.068"
"600519.SH","20090610","131.69","133.03","130.01","131.3","131.24","0.06","0.05","26476.92","348306.255"
"600519.SH","20090609","127.6","135","127.2","131.24","127.6","3.64","2.85","73303.85","969552.012"
"600519.SH","20090608","127.2","129.05","125","127.6","126.06","1.54","1.22","36886.21","469785.127"
"600519.SH","20090605","118.66","129.7","118.65","126.06","119.26","6.8","5.7","77740.93","973345.74"
"600519.SH","20090604","119.8","120.02","117.9","119.26","119.72","-0.46","-0.38","46533.32","553191.419"
"600519.SH","20090603","119.88","120.19","117.82","119.72","119.88","-0.16","-0.13","29245.9","347246.937"
"600519.SH","20090602","117.02","120.96","117.02","119.88","117.76","2.12","1.8","50168.13","600394.403"
"600519.SH","20090601","115.01","118.1","114.71","117.76","114.77","2.99","2.61","45920.11","537473.265"
"600519.SH","20090527","113.13","115.52","112.95","114.77","112.95","1.82","1.61","27630","316980.547"
"600519.SH","20090526","113.36","114.57","112.91","112.95","113.36","-0.41","-0.36","16806.81","190817.891"
"600519.SH","20090525","112.82","113.53","112.06","113.36","114.42","-1.06","-0.93","33676.28","380853.032"
"600519.SH","20090521","115.8","116.99","114.2","114.42","116.07","-1.65","-1.42","25788.4","296204.406"
"600519.SH","20090520","117.06","117.94","115.98","116.07","117.28","-1.21","-1.03","14711.27","171589.134"
"600519.SH","20090519","118.64","119.05","116.5","117.28","118.44","-1.16","-0.98","26554.01","312662.778"
"600519.SH","20090518","115.9","118.7","115.71","118.44","116.01","2.43","2.09","35072.36","412318.356"
"600519.SH","20090515","116.76","116.98","115.61","116.01","116.35","-0.34","-0.29","16798.62","195071.191"
"600519.SH","20090514","115","116.6","114.8","116.35","115.68","0.67","0.58","21504.81","249787.985"
"600519.SH","20090513","117","117.1","115.22","115.68","116.49","-0.81","-0.7","35792.44","415020.691"
"600519.SH","20090512","115.51","117.55","115.31","116.49","116.42","0.07","0.06","25988.9","300962.117"
"600519.SH","20090511","117.5","118.58","116.25","116.42","117.51","-1.09","-0.93","32773.61","384271.989"
"600519.SH","20090508","116.5","117.6","115.4","117.51","117.01","0.5","0.43","31007.2","359535.974"
